company,phone,Technology,Announced,Dimensions,Weight,Size,Resolution,OS,Chipset,CPU,GPU,Card_slot,Internal,Primary,Secondary,3point5mm_jack,WLAN,Bluetooth,GPS,USB,Price_group,Stand_by,Talk_time
KARBONN,Karbonn A7 Star,GSM,2013,113 x 66 x 10.4 mm (4.45 x 2.60 x 0.41 in),-,4.5 inches (~74.8% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v4.0 (Ice Cream Sandwich)",Mediatek MT6517,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,"microSD, up to 32 GB (dedicated slot)",164 MB,"5 MP, LED flash",Yes,Yes,Yes,Yes,No,Yes,10-Feb,Up to 135 h,Up to 5 h
KARBONN,Karbonn S5 Titanium,GSM / HSPA,"2013, March",144 x 72 x 9 mm (5.67 x 2.83 x 0.35 in),200 g (7.05 oz),5.0 inches (~66.5% screen-to-body ratio),540 x 960 pixels (~220 ppi pixel density),"Android OS, v4.1 (Jelly Bean)",Qualcomm MSM8225Q Snapdragon S4 Play,Quad-core 1.2 GHz Cortex-A5,Adreno 203,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v2.1, A2DP","Yes, with A-GPS",microUSB v2.0,10-Apr,Up to 200 h (2G) / Up to 200 h (3G),Up to 13 h (2G) / Up to 11 h (3G)
LAVA,Lava V5,GSM / HSPA / LTE,"2016, January",151.9 x 76.7 x 8.3 mm (5.98 x 3.02 x 0.33 in),153.2 g (5.40 oz),5.5 inches (~71.6% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),"Android OS, v5.1 (Lollipop), planned upgrade to v6.0 (Marshmallow)",Mediatek MT6735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,"microSD, up to 32 GB","16 GB, 3 GB RAM","13 MP, f/2.0, phase detection autofocus, dual-LED (dual tone) flash","8 MP, LED flash",Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS, GLONASS","microUSB v2.0, USB On-The-Go",10-Apr,Up to 260 h (3G),Up to 27 h 17 min (2G) / Up to 28 h (3G)
LAVA,Lava X10,GSM / HSPA / LTE,"2015, November",142 x 70.8 x 7.9 mm (5.59 x 2.79 x 0.31 in),133 g (4.69 oz),5.0 inches (~68.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v5.1 (Lollipop), planned upgrade to v6.0 (Marshmallow)",Mediatek MT6735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,"microSD, up to 32 GB","16 GB, 3 GB RAM","13 MP, autofocus, dual-LED flash",5 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB On-The-Go",10-Mar,Up to 209 h (3G),Up to 18 h (3G)
LAVA,Lava Iris X1 Grand,GSM / HSPA,"2015, January",144 x 72 x 9.2 mm (5.67 x 2.83 x 0.36 in),152 g (5.36 oz),5.0 inches (~66.4% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),"Android OS, v4.4.2 (KitKat), upgradable to v5.0 (Lollipop)",Mediatek MT6582M,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, dual-LED flash",2 MP,Yes,Wi-Fi 802.11 b/g/n,"v4.0, LE",A-GPS,microUSB v2.0,10-Mar,Up to 200 h (3G),Up to 10 h (3G)
LG,LG Stylus 2 Plus,GSM / HSPA / LTE,"2016, May",155 x 79.6 x 7.4 mm (6.10 x 3.13 x 0.29 in),146 g (5.15 oz),5.7 inches (~72.6% screen-to-body ratio),1080 x 1920 pixels (~386 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Qualcomm MSM8937 Snapdragon 430,Octa-core 1.2 GHz Cortex-A53 or Octa-core 1.4 GHz Cortex-A53,Adreno 505,"microSD, up to 256 GB (dedicated slot)","16/32 GB, 2 GB RAM - K530, MS55016/32 GB, 3 GB RAM - K535D","13 or 16 MP, f/2.2, autofocus, LED flash","5 or 8 MP, LED flash",Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","v4.1/v4.2, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Jul,Up to 315 h (3G),Up to 7 h 30 min (3G)
LG,LG G5 SE,GSM / HSPA / LTE,"2016, April",149.4 x 73.9 x 7.3 mm (5.88 x 2.91 x 0.29 in),156 g (5.50 oz),5.3 inches (~70.1% screen-to-body ratio),1440 x 2560 pixels (~554 ppi pixel density),"Android OS, v6.0.1 (Marshmallow)",Qualcomm MSM8976 Snapdragon 652,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Adreno 510,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","16 MP (f/1.8) + 8 MP (f/2.4), laser autofocus, OIS (3-axis), LED flash","8 MP, f/2.0, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","v4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","v2.0, Type-C 1.0 reversible connector, USB On-The-Go",10-Sep,Up to 380 h (3G),Up to 20 h (3G)
LG,LG G5,GSM / CDMA / HSPA / LTE,"2016, February",149.4 x 73.9 x 7.7 mm (5.88 x 2.91 x 0.30 in),159 g (5.61 oz),5.3 inches (~70.1% screen-to-body ratio),1440 x 2560 pixels (~554 ppi pixel density),"Android OS, v6.0.1 (Marshmallow)",Qualcomm MSM8996 Snapdragon 820,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,"microSD, up to 256 GB (dedicated slot) - single SIMmicroSD, up to 256 GB (uses SIM 2 slot) - dual SIM","32 GB, 4 GB RAM","16 MP (f/1.8) + 8 MP (f/2.4), laser autofocus, 2x optical zoom, OIS (3-axis), LED flash, check quality","8 MP, f/2.0, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","v4.2, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS","v3.0, Type-C 1.0 reversible connector, USB On-The-Go",10-Aug,Up to 400 h (3G),Up to 20 h (3G)
LG,LG X cam,GSM / HSPA / LTE,"2016, February",147.5 x 73.6 x 6.9 mm (5.81 x 2.90 x 0.27 in),118 g (4.16 oz),5.2 inches (~68.7% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Mediatek MT6753,Octa-core 1.14 GHz Cortex-A53,Mali-T720MP3,"microSD, up to 256 GB","16 GB, 2 GB RAM","13 MP + 5 MP, f/2.0, autofocus, LED flash",8 MP,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","v4.2, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Jul,Up to 260 h (2G) / Up to 260 h (3G),Up to 6 h (2G) / Up to 7 h (3G)
LG,LG X screen,GSM / HSPA / LTE,"2016, February",142.6 x 71.8 x 7.1 mm (5.61 x 2.83 x 0.28 in),120 g (4.23 oz),4.93 inches (~65.4% screen-to-body ratio),720 x 1280 pixels (~298 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, f/2.2, autofocus, LED flash",8 MP,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","v4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Apr,Up to 120 h (2G) / Up to 120 h (3G),Up to 9 h (2G) / Up to 14 h (3G)
LG,LG Stylus 2,GSM / HSPA / LTE,"2016, February",155 x 79.6 x 7.4 mm (6.10 x 3.13 x 0.29 in),145 g (5.11 oz),5.7 inches (~72.6% screen-to-body ratio),720 x 1280 pixels (~258 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 256 GB (dedicated slot)","16 GB, 1.5 GB RAM or 16 GB, 2 GB RAM (K520DY)","13 MP, f/2.2, autofocus, LED flash",8 MP,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","v4.1, A2DP","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Apr,Up to 670 h (3G),Up to 20 h (3G)
LG,LG K4,GSM / HSPA / LTE,"2016, January",131.9 x 66.7 x 8.9 mm (5.19 x 2.63 x 0.35 in),120 g (4.23 oz),4.5 inches (~63.4% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v5.1.1 (Lollipop)","Mediatek MT6735M - K120E, K130EQualcomm MSM8909 Snapdragon 210 - K121","Quad-core 1.0 GHz Cortex-A53 - K120E, K130EQuad-core 1.1 GHz Cortex-A7 - K121","Mali-T720MP2 - K120E, K130EAdreno 304 - K121","microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","5 MP, f/2.8, autofocus, LED flash","2 MP, f/2.8",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Feb,Up to 510 h (2G) / Up to 500 h (3G),Up to 20 h (2G) / Up to 9 h (3G)
LG,LG G Vista 2,GSM / HSPA / LTE,"2015, October",154.4 x 79.8 x 9.7 mm (6.08 x 3.14 x 0.38 in),169.8 g (5.96 oz),5.7 inches (~72.7% screen-to-body ratio),1080 x 1920 pixels (~386 ppi pixel density),"Android OS, v5.1 (Lollipop)",Qualcomm MSM8952 Snapdragon 617,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, OIS, laser autofocus, LED flash",5 MP,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi Direct, hotspot","v4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Jun,Up to 648 h (3G),Up to 18 h (3G)
LG,LG G4 Beat,GSM / HSPA / LTE,"2015, July",142.7 x 72.6 x 9.9 mm (5.62 x 2.86 x 0.39 in),139 g (4.90 oz),5.2 inches (~72.3% screen-to-body ratio),1080 x 1920 pixels (~423 ppi pixel density),"Android OS, v5.1.1 (Lollipop)",Qualcomm MSM8939 Snapdragon 615,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,"microSD, up to 32 GB (dedicated slot) - market dependent","8 GB, 1.5 GB RAM","8 MP, laser autofocus, LED flash13 MP, autofocus, LED flash (Latin America)",5 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.1, A2DP","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Apr,Up to 380 h (2G) / Up to 380 h (3G),Up to 15 h (2G) / Up to 14 h (3G)
LG,LG G4c,GSM / HSPA / LTE,"2015, May",139.7 x 69.8 x 10.2 mm (5.5 x 2.75 x 0.40 in),136 g (4.80 oz),5.0 inches (~70.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v5.0.2 (Lollipop), upgradable to v6.0 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2/1.3 GHz Cortex-A53,Adreno 306,"microSD, up to 256 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",5 MP,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, DLNA, hotspot","v4.1, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",microUSB v2.0,10-Apr,Up to 410 h (2G) / Up to 410 h (3G),Up to 6 h (2G) / Up to 6 h (3G)
