company,phone,Technology,Announced,Dimensions,Weight,Size,Resolution,OS,Chipset,CPU,GPU,Card_slot,Internal,Primary,Secondary,3point5mm_jack,WLAN,Bluetooth,GPS,USB,Price_group,Stand_by,Talk_time
QMOBILE,QMobile Noir X450,GSM / HSPA,"2015, May",142.8 x 74.3 x 8.6 mm (5.62 x 2.93 x 0.34 in),150 g (5.29 oz),5.0 inches (~64.9% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582M,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, autofocus, LED flash","2 MP, LED flash",Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Apr,Up to 162 h (2G) / Up to 108 h (3G),Up to 13 h 30 min (2G) / Up to 9 h 30 min (3G)
QMOBILE,QMobile Noir Z8 Plus,GSM / HSPA / LTE,"2015, May",143.5 x 72 x 7.5 mm (5.65 x 2.83 x 0.30 in),-,5.5 inches (~80.7% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 64 GB","16 GB, 2 GB RAM","13 MP, autofocus, LED flash","5 MP, 1080p",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot","v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB Host",10-Apr,Up to 710 h (2G) / Up to 660 h (3G),Up to 28 h (2G) / Up to 17 h (3G)
QMOBILE,QMobile Noir X350,GSM / HSPA,"2015, April",131.5 x 66 x 8.5 mm (5.18 x 2.60 x 0.33 in),-,4.5 inches (~64.3% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582V/X,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,A-GPS only,microUSB v2.0,10-Mar,Up to 386 h (2G) / Up to 386 h (3G),Up to 16 h 30 min (2G) / Up to 11 h (3G)
QMOBILE,QMobile Noir LT600,GSM / HSPA / LTE,"2015, March",143 x 70.7 x 6.9 mm (5.63 x 2.78 x 0.27 in),-,5.0 inches (~68.2% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Qualcomm MSM8926 Snapdragon 400,Quad-core 1.2 GHz Cortex-A7,Adreno 305,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash","5 MP, LED flash",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Apr,,
QMOBILE,QMobile Noir M300,GSM / HSPA,"2015, March",144.5 x 71.5 x 10.4 mm (5.69 x 2.81 x 0.41 in),180 g (6.35 oz),5.0 inches (~66.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-Apr,Up to 1090 h (2G) / Up to 1090 h (3G),Up to 52 h (2G) / Up to 33 h (3G)
QMOBILE,QMobile W1,GSM / HSPA,"2015, March",126 x 64 x 10.5 mm (4.96 x 2.52 x 0.41 in),-,4.0 inches (~56.5% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Microsoft Windows Phone 8.1,Qualcomm MSM8212 Snapdragon 200,Quad-core 1.2 GHz Cortex-A7,Adreno 302,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, autofocus, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,A-GPS only,microUSB v2.0,10-Feb,,
QMOBILE,QMobile Noir Z8,GSM / HSPA / LTE,"2015, March",143.5 x 72 x 7.5 mm (5.65 x 2.83 x 0.30 in),120 g (4.23 oz),5.0 inches (~66.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 64 GB","16 GB, 2 GB RAM","13 MP, autofocus, LED flash","5 MP, 1080p",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot","v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB Host",10-Apr,Up to 700 h (2G) / Up to 650 h (3G),Up to 26 h (2G) / Up to 15 h (3G)
QMOBILE,QMobile Noir A750,GSM / HSPA,"2015, February",144.5 x 73.8 x 8.9 mm (5.69 x 2.91 x 0.35 in),158 g (5.29 oz),5.0 inches (~64.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.2 (Jelly Bean)",Mediatek MT6589,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB","16 GB, 1 GB RAM","13 MP, autofocus, LED flash","5 MP, 720p",Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB Host",10-May,Up to 220 h,Up to 8 h
QMOBILE,QMobile Linq X70,GSM / HSPA,"2015, February",128 x 63 x 9 mm (5.04 x 2.48 x 0.35 in),-,4.0 inches (~61.4% screen-to-body ratio),480 x 640 pixels (~200 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Feb,Up to 390 h (2G) / Up to 320 h (3G),Up to 16 h (2G) / Up to 7 h (3G)
QMOBILE,QMobile Noir Z7,GSM / HSPA,"2015, February",139.8 x 67.4 x 5.2 mm (5.50 x 2.65 x 0.20 in),97.7 g (3.46 oz),4.8 inches (~67.4% screen-to-body ratio),720 x 1280 pixels (~306 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6592,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,No,"16 GB, 1 GB RAM","8 MP, autofocus, LED flash",5 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-May,,
QMOBILE,QMobile Linq L10,GSM / HSPA,"2015, February",146.2 x 74.2 x 8.8 mm (5.76 x 2.92 x 0.35 in),-,5.0 inches (~63.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Qualcomm MSM8252,Quad-core 1.2 GHz Cortex-A7,,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Mar,,
QMOBILE,QMobile Noir LT250,GSM / HSPA / LTE,"2015, February",140.1 x 67.5 x 8.8 mm (5.52 x 2.66 x 0.35 in),119 g (4.20 oz),4.7 inches (~64.4% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Nvidia Tegra 4i,Quad-core 1.7 GHz,ULP GeForce,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","8 MP, autofocus, LED flash",5 MP,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-Mar,Up to 162 h (2G) / Up to 162 h (3G),Up to 14 h 50 min (2G) / Up to 8 h 40 min (3G)
QMOBILE,QMobile Noir LT150,GSM / HSPA / LTE,"2015, February",137.5 x 68.5 x 8.9 mm (5.41 x 2.70 x 0.35 in),-,4.7 inches (~64.6% screen-to-body ratio),480 x 854 pixels (~208 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6590,Quad-core 1.3 GHz Cortex-A7,,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Mar,,
QMOBILE,QMobile Noir X600,GSM / HSPA,"2015, February",8.3 mm thickness,-,5.0 inches,720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.2.2 (Jelly Bean)",Mediatek MT6592M,Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,"microSD, up to 32 GB","16 GB, 2 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-Mar,,
QMOBILE,QMobile Noir X700,GSM / HSPA,"2015, February",140 x 70 x 7.9 mm (5.51 x 2.76 x 0.31 in),-,5.0 inches (~70.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.2.2 (Jelly Bean)",Mediatek MT6592M,Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-Apr,,
QMOBILE,QMobile Noir X900,GSM / HSPA,"2015, February",141.5 x 70.8 x 7.8 mm (5.57 x 2.79 x 0.31 in),-,5.0 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.2.2 (Jelly Bean)",Mediatek MT6592Mediatek MT6592M,Octa-core 1.7 GHz Cortex-A7Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,"microSD, up to 32 GB","16 GB, 2 GB RAM8 GB, 1 GB RAM","13 MP, autofocus, dual-LED flash 8 MP, autofocus, LED flash",5 MP2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-Apr,,
QMOBILE,QMobile Noir X60,GSM / HSPA,"2015, January",125 x 63.2 x 9 mm (4.92 x 2.49 x 0.35 in),-,4.0 inches (~57.6% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),"Android OS, v4.4.2 (KitKat)",MediaTek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, autofocus, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,A-GPS only,microUSB v2.0,10-Feb,,
QMOBILE,QMobile Noir X80,GSM / HSPA,"2015, January",124.1 x 63.8 x 9.9 mm (4.89 x 2.51 x 0.39 in),-,4.0 inches (~57.5% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),"Android OS, v4.4.2 (KitKat)",MediaTek MT6572,Dual-core 1.3 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Feb,,
QMOBILE,QMobile Noir X90,GSM / HSPA,"2015, January",9.3 mm thickness,-,5.0 inches,480 x 854 pixels (~196 ppi pixel density),"Android OS, v4.4.2 (KitKat)",MediaTek MT6572A,Dual-core 1.3 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, autofocus, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,A-GPS only,microUSB v2.0,10-Feb,,
QMOBILE,QMobile Noir X550,GSM / HSPA,"2015, January",139.1 x 69.2 x 7.9 mm (5.48 x 2.72 x 0.31 in),-,4.7 inches (~63.3% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,A-GPS only,microUSB v2.0,10-Mar,,
QMOBILE,QMobile Linq X300,GSM / HSPA,"2014, December",136 x 64.6 x 9 mm (5.35 x 2.54 x 0.35 in),-,4.5 inches (~63.5% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582M,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, dual-LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Mar,,
QMOBILE,QMobile Linq X100,GSM / HSPA,"2014, December",128 x 64.3 x 9.5 mm (5.04 x 2.53 x 0.37 in),-,4.5 inches (~67.8% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Mar,,
QMOBILE,QMobile Noir X35,GSM / HSPA,"2014, December",124.8 x 63.5 x 10.5 mm (4.91 x 2.5 x 0.41 in),-,4.0 inches (~57.5% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),"Android OS, v4.4.2 (KitKat)",MediaTek MT6572,Dual-core 1.0 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB","4 GB, 512 MB RAM","3.15 MP, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,A-GPS only,microUSB v2.0,10-Feb,,
QMOBILE,QMobile Noir X400,GSM / HSPA,"2014, November",131 x 65 x 7.8 mm (5.16 x 2.56 x 0.31 in),-,4.5 inches (~65.5% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP",A-GPS only,microUSB v2.0,10-Feb,Up to 230 h (2G) / Up to 230 h (3G),Up to 16 h (2G) / Up to 10 h (3G)
QMOBILE,QMobile Noir X500,GSM / HSPA,"2014, November",137.8 x 68 x 8.8 mm (5.43 x 2.68 x 0.35 in),-,4.7 inches (~65.0% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,A-GPS only,microUSB v2.0,10-Feb,,
QMOBILE,QMobile M800,GSM,"2014, September",126.5 x 55.6 x 13.3 mm (4.98 x 2.19 x 0.52 in),-,2.4 inches (~25.4% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,"microSD, up to 16 GB","64 MB, 64 MB RAM",Yes,No,Yes,No,Yes,No,microUSB v2.0,10-Jan,,
QMOBILE,QMobile Noir i7,GSM / HSPA,"2014, September",137 x 68 x 8.8 mm (5.39 x 2.68 x 0.35 in),-,4.5 inches (~59.9% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),"Android OS, v4.2 (Jelly Bean), upgradable to v4.4 (KitKat)",Mediatek MT6582M,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Mar,,
QMOBILE,QMobile Noir M90,GSM / HSPA,"2014, September",144 x 72 x 10.5 mm (5.67 x 2.83 x 0.41 in),-,5.0 inches (~66.4% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),"Android OS, v4.2 (Jelly Bean), upgradable to v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Mar,Up to 555 h (2G) / Up to 555 h (3G),Up to 31 h 30 min (2G) / Up to 24 h (3G)
QMOBILE,QMobile Noir X800,GSM / HSPA,"2014, September",138 x 68 x 7.6 mm (5.43 x 2.68 x 0.30 in),-,4.7 inches (~64.9% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),"Android OS, v4.2.2 (Jelly Bean)",Mediatek MT6592M,Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,"microSD, up to 32 GB","16 GB, 2 GB RAM8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-Mar,,
QMOBILE,QMobile B100TV,GSM,"2014, August",114 x 49.6 x 13.2 mm (4.49 x 1.95 x 0.52 in),-,2.4 inches (~31.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,"microSD, up to 16 GB","32 MB, 8 MB RAM",Yes,No,Yes,No,Yes,No,microUSB v2.0,10-Jan,,
QMOBILE,QMobile Noir A115 ATV,GSM,"2014, August",125 x 64.5 x 12.1 mm (4.92 x 2.54 x 0.48 in),-,"3.97 inches, 3.97 (~55.6% screen-to-body ratio)",480 x 800 pixels (~235 ppi pixel density),"Android OS, v4.2 (Jelly Bean)",Mediatek MT6572M,Dual-core 1.0 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB","512 MB, 512 MB RAM","3.15 MP, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Feb,,
QMOBILE,QMobile Noir i10,GSM / HSPA,"2014, August",147 x 73 x 8.8 mm (5.79 x 2.87 x 0.35 in),-,5.0 inches (~64.2% screen-to-body ratio),540 x 960 pixels (~220 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582M,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS","microUSB v2.0, USB Host",10-Mar,,
QMOBILE,QMobile B800,GSM,"2014, July",127.9 x 57.4 x 10.9 mm (5.04 x 2.26 x 0.43 in),-,3.2 inches (~43.2% screen-to-body ratio),240 x 320 pixels (~125 ppi pixel density),,,,,"microSD, up to 16 GB","128 MB, 64 MB RAM","Yes, LED flash",No,Yes,No,Yes,No,microUSB v2.0,10-Jan,,
QMOBILE,QMobile Noir A8i,GSM / HSPA,"2014, July",126 x 64.4 x 11.2 mm (4.96 x 2.54 x 0.44 in),-,4.0 inches (~56.1% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),"Android OS, v4.4 (KitKat)",Mediatek MT6572,Dual-core 1.3 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP",A-GPS only,microUSB v2.0,10-Feb,,
QMOBILE,QMobile Noir Z5,GSM / HSPA,"2014, July",150.6 x 75 x 9.5 mm (5.93 x 2.95 x 0.37 in),150 g (5.29 oz),5.5 inches (~73.8% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),"Android OS, v4.2 (Jelly Bean)",Qualcomm MSM8274 Snapdragon 800,Quad-core 2.3 GHz Krait 400,Adreno 330,No,"16 GB, 2 GB RAM","16 MP, autofocus, LED flash",8 MP,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB Host",10-Jul,,
QMOBILE,QMobile Noir i12,GSM / HSPA,"2014, July",143 x 69.5 x 6.9 mm (5.63 x 2.74 x 0.27 in),-,5.0 inches (~69.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.2 (Jelly Bean)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,No,"16 GB, 2 GB RAM","13 MP, autofocus, LED flash",5 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB Host",10-Apr,,
